event_id,ticker,ex_date,offset,cum_ret,mkt_ret,abnormal
8476_2022-12-22,8476,2022-12-22,14,0.07078039927404722,0.04604966139954847,0.024730737874498754
8476_2022-12-22,8476,2022-12-22,15,0.07803992740471855,0.058239277652370136,0.01980064975234841
8476_2022-12-22,8476,2022-12-22,16,0.08529945553539009,0.0663656884875845,0.018933767047805583
8476_2022-12-22,8476,2022-12-22,17,0.08348457350272231,0.0663656884875845,0.017118885015137808
8476_2022-12-22,8476,2022-12-22,18,0.1088929219600725,0.08984198645598207,0.019050935504090427
8476_2022-12-22,8476,2022-12-22,19,0.18874773139745904,0.06817155756207671,0.12057617383538233
8476_2022-12-22,8476,2022-12-22,20,0.2540834845735025,0.0744920993227991,0.1795913852507034
8476_2022-12-22,8476,2022-12-22,21,0.22141560798548077,0.09255079006772005,0.12886481791776072
8476_2022-12-22,8476,2022-12-22,22,0.23411978221415608,0.09255079006772005,0.14156899214643603
8476_2022-12-22,8476,2022-12-22,23,0.23593466424682386,0.07674943566591419,0.15918522858090967
8476_2022-12-22,8476,2022-12-22,24,0.25045372050816694,0.0744920993227991,0.17596162118536784
8476_2022-12-22,8476,2022-12-22,25,0.3194192377495464,0.09119638826185095,0.22822284948769544
8476_2022-12-22,8476,2022-12-22,26,0.3067150635208711,0.09164785553047405,0.21506720799039702
8476_2022-12-22,8476,2022-12-22,27,0.22686025408348454,0.09255079006772005,0.1343094640157645
8476_2022-12-22,8476,2022-12-22,28,0.20326678765880213,0.09029345372460496,0.11297333393419717
8476_2022-12-22,8476,2022-12-22,29,0.19237749546279503,0.09841986455981955,0.09395763090297549
8476_2022-12-22,8476,2022-12-22,30,0.20145190562613435,0.07313769751693,0.12831420810920435
8476_2022-12-22,8476,2022-12-22,31,0.20326678765880213,0.08623024830699766,0.11703653935180447
8476_2022-12-22,8476,2022-12-22,32,0.2595281306715065,0.07223476297968401,0.18729336769182248
8476_2022-12-22,8476,2022-12-22,33,0.2686025408348458,0.0744920993227991,0.1941104415120467
8476_2022-12-22,8476,2022-12-22,34,0.30852994555353885,0.07404063205417599,0.23448931349936286
8476_2022-12-22,8476,2022-12-22,35,0.2813067150635207,0.06230248306997743,0.21900423199354324
8476_2022-12-22,8476,2022-12-22,36,0.2776769509981851,0.07810383747178329,0.19957311352640184
8476_2022-12-22,8476,2022-12-22,37,0.3067150635208711,0.0726862302483069,0.23402883327256419
8476_2022-12-22,8476,2022-12-22,38,0.2776769509981851,0.07765237020316018,0.20002458079502494
8476_2022-12-22,8476,2022-12-22,39,0.2686025408348458,0.07674943566591419,0.19185310516893161
8476_2022-12-22,8476,2022-12-22,40,0.3067150635208711,0.07765237020316018,0.2290626933177109
8476_2022-12-22,8476,2022-12-22,41,0.3284936479128857,0.08803611738148986,0.24045753053139585
8476_2022-12-22,8476,2022-12-22,42,0.30852994555353885,0.09525959367945824,0.2132703518740806
8476_2022-12-22,8476,2022-12-22,43,0.3883847549909256,0.08623024830699766,0.30215450668392796
8476_2022-12-22,8476,2022-12-22,44,0.3284936479128857,0.08532731376975167,0.24316633414313404
8476_2022-12-22,8476,2022-12-22,45,0.32486388384754994,0.06817155756207671,0.2566923262854732
8476_2022-12-22,8476,2022-12-22,46,0.2558983666061707,0.0726862302483069,0.18321213635786382
8476_2022-12-22,8476,2022-12-22,47,0.219600725952813,0.060948081264108334,0.15865264468870466
8476_2022-12-22,8476,2022-12-22,48,0.21597096188747722,0.061851015801354325,0.1541199460861229
8476_2022-12-22,8476,2022-12-22,49,0.1941923774954628,0.05688487584650104,0.13730750164896177
8476_2022-12-22,8476,2022-12-22,50,0.20145190562613435,0.07404063205417599,0.12741127357195836
8476_2022-12-22,8476,2022-12-22,51,0.21052631578947367,0.0663656884875845,0.14416062730188917
8476_2022-12-22,8476,2022-12-22,52,0.21597096188747722,0.07133182844243802,0.1446391334450392
8476_2022-12-22,8476,2022-12-22,53,0.2304900181488203,0.09164785553047405,0.13884216261834625
8476_2022-12-22,8476,2022-12-22,54,0.22141560798548077,0.10022573363431153,0.12118987435116924
8476_2022-12-22,8476,2022-12-22,55,0.22504537205081676,0.10338600451467261,0.12165936753614415
8476_2022-12-22,8476,2022-12-22,56,0.2304900181488203,0.09661399548532734,0.13387602266349297
8476_2022-12-22,8476,2022-12-22,57,0.20508166969147013,0.08713318284424387,0.11794848684722625
8476_2022-12-22,8476,2022-12-22,58,0.1814882032667875,0.08893905191873586,0.09254915134805164
8476_2022-12-22,8476,2022-12-22,59,0.19056261343012681,0.09435665914221225,0.09620595428791456
8476_2022-12-22,8476,2022-12-22,60,0.1814882032667875,0.09796839729119644,0.08351980597559105
6411_2023-01-06,6411,2023-01-06,-30,0.10058479532163744,0.04851752021563338,0.05206727510600406
6411_2023-01-06,6411,2023-01-06,-29,0.0935672514619883,0.04851752021563338,0.04504973124635492
6411_2023-01-06,6411,2023-01-06,-28,0.09005847953216373,0.027403414195867004,0.06265506533629672
6411_2023-01-06,6411,2023-01-06,-27,0.07953216374269001,0.036837376460018056,0.04269478728267195
6411_2023-01-06,6411,2023-01-06,-26,0.1380116959064328,0.04537286612758318,0.09263882977884963
6411_2023-01-06,6411,2023-01-06,-25,0.1520467836257311,0.06334231805929913,0.08870446556643197
6411_2023-01-06,6411,2023-01-06,-24,0.1871345029239766,0.0539083557951483,0.1332261471288283
6411_2023-01-06,6411,2023-01-06,-23,0.1929824561403508,0.055256064690027085,0.13772639145032373
6411_2023-01-06,6411,2023-01-06,-22,0.1532163742690058,0.035938903863432126,0.11727747040557368
6411_2023-01-06,6411,2023-01-06,-21,0.12280701754385959,0.029649595687331498,0.09315742185652809
6411_2023-01-06,6411,2023-01-06,-20,0.10760233918128659,0.017520215633423097,0.09008212354786349
6411_2023-01-06,6411,2023-01-06,-19,0.10058479532163744,0.03324348607367478,0.06734130924796267
6411_2023-01-06,6411,2023-01-06,-18,0.09941520467836251,0.023360287511231093,0.07605491716713142
6411_2023-01-06,6411,2023-01-06,-17,0.08771929824561409,0.018867924528301883,0.0688513737173122
6411_2023-01-06,6411,2023-01-06,-16,0.11111111111111116,0.03144654088050314,0.07966457023060802
6411_2023-01-06,6411,2023-01-06,-15,0.10526315789473695,0.03234501347708907,0.07291814441764788
6411_2023-01-06,6411,2023-01-06,-14,0.07017543859649122,0.015274034141958603,0.05490140445453262
6411_2023-01-06,6411,2023-01-06,-13,0.04444444444444451,0.00943396226415083,0.03501048218029368
6411_2023-01-06,6411,2023-01-06,-12,0.002339181286549641,-0.008984725965858087,0.011323907252407728
6411_2023-01-06,6411,2023-01-06,-11,0.004678362573099504,-0.004941599281221842,0.009619961854321346
6411_2023-01-06,6411,2023-01-06,-10,0.005847953216374213,0.011680143755615324,-0.005832190539241111
6411_2023-01-06,6411,2023-01-06,-9,0.002339181286549641,-0.005390835579514808,0.007730016866064449
6411_2023-01-06,6411,2023-01-06,-8,-0.005847953216374324,-0.0017969451931716396,-0.004051008023202685
