anchor,year,horizon,n,mean_ret,win_rate
公告日,2025,-20,191,-0.030642538785235336,0.35602094240837695
公告日,2025,-2,191,-0.0022914548603546847,0.41361256544502617
公告日,2025,-3,191,-0.004773477644354033,0.450261780104712
公告日,2025,-4,191,-0.0070375663821803085,0.41361256544502617
公告日,2025,-5,191,-0.01268266791323109,0.36649214659685864
公告日,2025,-6,191,-0.015389040247949787,0.36649214659685864
公告日,2025,-7,191,-0.017156605202692257,0.33507853403141363
公告日,2025,-8,191,-0.018728695117426017,0.34554973821989526
公告日,2025,-9,191,-0.01943394708837487,0.39790575916230364
公告日,2026,0,53,0.0026216042265794636,0.4716981132075472
公告日,2026,10,50,0.012885490582009914,0.4
公告日,2026,1,53,0.00235518842637178,0.41509433962264153
公告日,2026,20,47,0.03956601222919386,0.425531914893617
公告日,2026,2,52,0.00809583071297974,0.4807692307692308
公告日,2026,30,42,0.05037149037244709,0.35714285714285715
公告日,2026,3,52,0.007876578522671299,0.4807692307692308
公告日,2026,4,52,0.013903131441027524,0.5
公告日,2026,5,52,0.00834621641208055,0.4230769230769231
公告日,2026,60,35,0.19194876643744735,0.5142857142857142
公告日,2026,6,51,0.015164713005425672,0.47058823529411764
公告日,2026,7,51,0.01276111529358359,0.47058823529411764
公告日,2026,8,51,0.008255402365372824,0.39215686274509803
公告日,2026,9,51,0.005961867994498489,0.37254901960784315
