signal_date,exit_date,stock_id,stock_name,entry_price,signal_day_ret_pct,signal_vol_ratio,signal_amount_wan,exit_open,exit_open_ret_pct,exit_close,exit_close_ret_pct,exit_vol_ratio,exit_vol_wan,ret_bps,ret_pct,net_ret_pct
2025-03-10,2025-03-11,5222,全訊,130.0,5.26,4.15,13878.0,128.0,-1.54,133.0,2.31,3.08,0.1,-153.8,-1.54,-1.9
2025-03-11,2025-03-12,4931,新盛力,86.0,6.44,5.76,1260586.0,86.9,1.05,88.5,2.91,3.99,13.1,104.7,1.05,0.69
2025-03-11,2025-03-12,1799,易威,81.5,6.12,4.13,21221.0,82.0,0.61,77.5,-4.91,2.78,0.2,61.3,0.61,0.26
2025-03-12,2025-03-13,2607,榮運,32.35,7.48,10.78,50865.0,32.5,0.46,31.95,-1.24,3.89,0.7,46.4,0.46,0.11
2025-03-12,2025-03-13,8155,博智,143.5,6.69,4.96,83233.0,143.5,0.0,140.5,-2.09,2.12,0.3,0.0,0.0,-0.36
2025-03-13,2025-03-14,6877,鏵友益,112.5,7.66,4.24,170366.0,115.0,2.22,111.5,-0.89,4.75,2.2,222.2,2.22,1.87
2025-03-13,2025-03-14,2328,廣宇,54.4,6.88,4.32,831714.0,55.1,1.29,53.7,-1.29,2.35,9.5,128.7,1.29,0.93
2025-03-14,2025-03-17,6244,茂迪,23.2,7.41,3.79,12820.0,23.15,-0.22,22.65,-2.37,1.36,0.2,-21.6,-0.22,-0.57
2025-03-14,2025-03-17,6667,信紘科,208.5,5.84,3.35,77064.0,210.0,0.72,206.5,-0.96,1.19,0.1,71.9,0.72,0.36
2025-03-17,2025-03-18,1463,強盛新,31.1,9.51,3.72,19794.0,31.05,-0.16,30.2,-2.89,2.26,0.4,-16.1,-0.16,-0.52
2025-03-17,2025-03-18,4771,望隼,209.0,8.01,3.53,11521.0,210.0,0.48,205.0,-1.91,1.37,0.0,47.8,0.48,0.12
2025-03-18,2025-03-19,6117,迎廣,118.5,9.72,4.4,216926.0,120.0,1.27,111.0,-6.33,5.55,3.3,126.6,1.27,0.91
2025-03-18,2025-03-19,6829,千附精密,141.0,8.88,7.75,85057.0,142.5,1.06,151.5,7.45,7.18,0.9,106.4,1.06,0.71
2025-03-19,2025-03-20,6829,千附精密,151.5,7.45,7.18,133955.0,151.0,-0.33,149.0,-1.65,2.56,0.4,-33.0,-0.33,-0.69
2025-03-19,2025-03-20,8033,雷虎,71.5,6.08,6.64,223291.0,71.0,-0.7,70.7,-1.12,2.62,1.3,-69.9,-0.7,-1.06
2025-03-20,2025-03-21,8111,立碁,68.9,6.66,6.81,1016219.0,69.6,1.02,67.4,-2.18,1.95,4.7,101.6,1.02,0.66
2025-03-20,2025-03-21,3605,宏致,68.8,4.88,4.78,275265.0,68.0,-1.16,66.9,-2.76,1.98,1.7,-116.3,-1.16,-1.52
2025-03-21,2025-03-24,8936,國統,62.5,9.27,5.38,141154.0,63.0,0.8,58.9,-5.76,3.7,1.8,80.0,0.8,0.44
2025-03-21,2025-03-24,6672,騰輝電子-KY,89.3,8.9,4.54,57598.0,90.4,1.23,87.0,-2.58,4.81,0.8,123.2,1.23,0.87
2025-03-24,2025-03-25,4572,駐龍,180.0,9.76,8.69,28301.0,184.0,2.22,192.0,6.67,11.35,0.5,222.2,2.22,1.87
2025-03-24,2025-03-25,4532,瑞智,31.35,4.5,3.05,18813.0,31.5,0.48,31.3,-0.16,1.84,0.4,47.8,0.48,0.12
2025-03-25,2025-03-26,2351,順德,100.5,9.6,7.28,93515.0,102.5,1.99,92.7,-7.76,8.84,1.9,199.0,1.99,1.63
2025-03-25,2025-03-26,4572,駐龍,192.0,6.67,11.35,89367.0,195.0,1.56,182.5,-4.95,6.12,0.4,156.2,1.56,1.21
2025-03-26,2025-03-27,6199,天品,118.5,9.72,2.92,11435.0,120.0,1.27,120.0,1.27,4.82,0.2,126.6,1.27,0.91
2025-03-26,2025-03-27,3078,僑威,95.9,8.12,5.81,500353.0,95.4,-0.52,89.6,-6.57,3.21,3.3,-52.1,-0.52,-0.88
2025-03-27,2025-03-28,6799,來頡,129.0,9.79,7.18,96218.0,130.0,0.78,123.0,-4.65,8.29,1.5,77.5,0.78,0.42
2025-03-27,2025-03-28,2009,第一銅,46.95,5.03,5.68,255896.0,47.5,1.17,45.2,-3.73,5.95,7.0,117.1,1.17,0.81
2025-03-28,2025-03-31,6753,龍德造船,125.5,9.61,5.06,149596.0,123.0,-1.99,113.0,-9.96,4.54,1.4,-199.2,-1.99,-2.35
2025-03-28,2025-03-31,6199,天品,128.0,6.67,3.42,23314.0,128.0,0.0,128.0,0.0,2.72,0.2,0.0,0.0,-0.36
2025-04-01,2025-04-02,6199,天品,132.5,3.52,2.92,27638.0,132.5,0.0,138.0,4.15,2.18,0.2,0.0,0.0,-0.36
2025-04-11,2025-04-14,3705,永信,61.6,3.36,3.63,38419.0,63.0,2.27,61.6,0.0,2.42,0.5,227.3,2.27,1.92
2025-04-16,2025-04-17,2466,冠西電,104.5,9.65,3.25,35028.0,101.0,-3.35,108.5,3.83,8.14,1.4,-334.9,-3.35,-3.71
2025-04-16,2025-04-17,3705,永信,66.7,3.57,3.12,50648.0,67.2,0.75,66.1,-0.9,1.62,0.4,75.0,0.75,0.39
2025-04-17,2025-04-18,3147,大綜,207.0,7.25,4.07,236463.0,205.0,-0.97,207.5,0.24,3.24,1.1,-96.6,-0.97,-1.32
2025-04-17,2025-04-18,2466,冠西電,108.5,3.83,8.14,147090.0,112.5,3.69,104.0,-4.15,5.6,1.3,368.7,3.69,3.33
2025-04-25,2025-04-28,6752,叡揚,162.5,9.8,5.06,45713.0,166.0,2.15,178.5,9.85,3.79,0.3,215.4,2.15,1.8
2025-04-25,2025-04-28,6510,精測,758.0,9.22,2.83,95598.0,770.0,1.58,730.0,-3.69,1.48,0.1,158.3,1.58,1.23
2025-04-28,2025-04-29,6112,邁達特,54.3,5.03,7.49,198887.0,53.0,-2.39,52.6,-3.13,2.42,1.3,-239.4,-2.39,-2.75
2025-04-28,2025-04-29,3147,大綜,294.0,4.07,3.32,532666.0,293.0,-0.34,290.0,-1.36,0.27,0.2,-34.0,-0.34,-0.7
2025-04-29,2025-04-30,6752,叡揚,185.5,3.92,6.68,125336.0,188.0,1.35,182.5,-1.62,2.0,0.2,134.8,1.35,0.99
2025-04-30,2025-05-02,6547,高端疫苗,55.1,9.33,4.08,56725.0,53.8,-2.36,54.1,-1.81,2.65,0.8,-235.9,-2.36,-2.72
2025-04-30,2025-05-02,3312,弘憶股,53.3,3.7,5.68,103751.0,54.0,1.31,53.9,1.13,3.08,1.2,131.3,1.31,0.96
2025-05-02,2025-05-05,6869,雲豹能源,163.0,9.76,5.19,92929.0,170.0,4.29,160.0,-1.84,6.75,1.1,429.4,4.29,3.94
2025-05-05,2025-05-06,3546,宇峻,113.0,9.71,2.73,60086.0,117.5,3.98,124.0,9.73,5.06,1.3,398.2,3.98,3.63
2025-05-05,2025-05-06,1218,泰山,22.65,8.89,8.65,41356.0,22.65,0.0,22.25,-1.77,2.36,0.5,0.0,0.0,-0.36
2025-05-06,2025-05-07,3546,宇峻,124.0,9.73,5.06,157832.0,125.5,1.21,122.0,-1.61,5.27,1.8,121.0,1.21,0.85
2025-05-06,2025-05-07,1514,亞力,108.5,2.84,3.78,228483.0,109.0,0.46,106.0,-2.3,1.08,0.6,46.1,0.46,0.1
2025-05-07,2025-05-08,3363,上詮,203.5,7.39,3.87,248990.0,208.5,2.46,219.0,7.62,4.38,1.8,245.7,2.46,2.1
2025-05-07,2025-05-08,3558,神準,183.0,6.09,4.02,75190.0,189.5,3.55,183.5,0.27,3.11,0.4,355.2,3.55,3.19
2025-05-08,2025-05-09,6462,神盾,101.0,9.54,3.74,38193.0,103.5,2.48,96.6,-4.36,5.57,0.7,247.5,2.48,2.12
2025-05-08,2025-05-09,6739,竹陞科技,292.5,7.93,3.28,66389.0,295.0,0.85,281.5,-3.76,2.14,0.2,85.5,0.85,0.5
2025-05-09,2025-05-12,3551,世禾,118.0,7.27,4.65,29833.0,118.5,0.42,119.0,0.85,2.08,0.1,42.4,0.42,0.07
2025-05-09,2025-05-12,3363,上詮,230.0,5.02,4.82,579216.0,230.5,0.22,222.0,-3.48,1.86,1.1,21.7,0.22,-0.14
2025-05-12,2025-05-13,2374,佳能,52.6,9.47,4.69,173118.0,53.6,1.9,53.3,1.33,4.04,3.6,190.1,1.9,1.54
2025-05-12,2025-05-13,6788,華景電,200.0,9.29,5.07,40313.0,200.0,0.0,197.0,-1.5,3.03,0.1,0.0,0.0,-0.36
2025-05-13,2025-05-14,6104,創惟,160.0,8.11,3.32,330518.0,162.0,1.25,168.5,5.31,2.36,1.6,125.0,1.25,0.89
2025-05-13,2025-05-14,3149,正達,36.7,6.22,6.66,144432.0,36.8,0.27,39.5,7.63,4.42,3.3,27.2,0.27,-0.08
2025-05-14,2025-05-15,6788,華景電,216.0,9.64,4.54,50752.0,215.5,-0.23,216.0,0.0,1.5,0.1,-23.1,-0.23,-0.59
2025-05-14,2025-05-15,3149,正達,39.5,7.63,4.42,127535.0,39.9,1.01,39.95,1.14,2.31,1.9,101.3,1.01,0.66
2025-05-15,2025-05-16,6584,南俊國際,146.5,9.74,5.67,27499.0,146.0,-0.34,144.0,-1.71,3.47,0.1,-34.1,-0.34,-0.7
